iter	Passed	Remaining
939	65031	73332
940	65095	73258
941	65157	73181
942	65227	73112
943	65296	73043
944	65357	72964
945	65421	72890
946	65489	72820
947	65552	72743
948	65614	72666
949	65682	72596
950	65751	72526
951	65812	72449
952	65882	72381
953	65955	72315
954	66040	72263
955	66113	72199
956	66191	72139
957	66266	72077
958	66338	72011
959	66416	71950
960	66485	71882
961	66550	71807
962	66617	71736
963	66691	71672
964	66759	71601
965	66833	71537
966	66896	71462
967	66959	71386
968	67022	71310
969	67094	71244
970	67156	71167
971	67222	71094
972	67290	71024
973	67353	70949
974	67416	70873
975	67497	70817
976	67585	70767
977	67649	70692
978	67720	70625
979	67785	70551
980	67849	70477
981	67911	70401
982	67980	70331
983	68045	70258
984	68107	70182
985	68169	70105
986	68244	70042
987	68310	69969
988	68377	69898
989	68438	69821
990	68509	69753
991	68576	69682
992	68638	69606
993	68700	69529
994	68774	69465
995	68838	69391
996	68902	69316
997	68966	69243
998	69043	69181
999	69117	69117
1000	69187	69049
1001	69250	68974
1002	69324	68910
1003	69386	68834
1004	69458	68767
1005	69519	68690
1006	69585	68617
1007	69653	68548
1008	69716	68472
1009	69795	68413
1010	69862	68342
1011	69929	68270
1012	69992	68196
1013	70064	68129
1014	70128	68056
1015	70201	67990
1016	70266	67917
1017	70323	67836
1018	70388	67764
1019	70462	67699
1020	70533	67631
1021	70599	67559
1022	70664	67486
1023	70737	67421
1024	70808	67354
1025	70878	67286
1026	70941	67211
1027	71005	67137
1028	71064	67058
1029	71133	66990
1030	71198	66916
1031	71262	66843
1032	71328	66771
1033	71400	66704
1034	71468	66634
1035	71530	66558
1036	71601	66492
1037	71661	66414
1038	71723	66339
1039	71797	66274
1040	71863	66202
1041	71932	66133
1042	71995	66059
1043	72059	65985
1044	72127	65915
1045	72198	65848
1046	72262	65775
1047	72322	65697
1048	72393	65629
1049	72456	65555
1050	72528	65489
1051	72595	65418
1052	72668	65353
1053	72743	65289
1054	72818	65226
1055	72882	65152
1056	72948	65080
1057	73020	65014
1058	73085	64942
1059	73149	64868
1060	73225	64805
1061	73289	64732
1062	73352	64658
1063	73422	64590
1064	73487	64516
1065	73559	64450
1066	73636	64388
1067	73717	64329
1068	73804	64276
1069	73873	64207
1070	73936	64133
1071	74002	64061
1072	74074	63995
1073	74135	63919
1074	74221	63864
1075	74297	63801
1076	74358	63726
1077	74424	63654
1078	74494	63586
1079	74556	63510
1080	74617	63434
1081	74689	63368
